id,name,price,stock
1912,Imported Clean Floor Wax,426.0,73
1913,Natural Office Highlighter,74.25,77
1914,Organic Tech Earphones,1572.5,81
1915,Premium Pet Cat Food 1kg,182.49,85
1916,Roasted Coffee Espresso Beans,376.0,89
1917,Sweet Tea Hibiscus Leaves,476.99,93
1918,Light Snack Popcorn Bag,109.25,97
1919,Special Drink Juice Box,187.49,2
1920,Local Bakery Banana Bread,220.75,6
1921,Roasted Coffee Cappuccino Sticks,657.5,49
1922,Sweet Tea Jasmine Pearls,500.74,53
1923,Light Snack Trail Mix,155.24,57
1924,Special Drink Sports Drink,189.24,61
1925,Local Bakery Cinnamon Roll,180.75,65
1926,Fresh Dairy Greek Yogurt,247.74,69
1927,Classic Pantry Soy Sauce 1L,211.5,73
1928,Original Frozen Frozen Pizza,132.74,77
1929,Salted Produce Garlic Bulb,85.5,81
1930,Spicy Meat Lamb Chops,204.24,85
1931,Deluxe Bath Mouthwash,167.24,89
1932,Imported Clean Floor Wax,429.25,93
1933,Natural Office Highlighter,77.5,97
1934,Organic Tech Earphones,1575.75,2
1935,Premium Pet Cat Food 1kg,185.74,6
1936,Roasted Coffee Espresso Beans,379.25,10
1937,Sweet Tea Hibiscus Leaves,480.24,14
1938,Light Snack Popcorn Bag,112.5,18
1939,Special Drink Juice Box,190.74,22
1940,Local Bakery Banana Bread,224.0,26
1941,Roasted Coffee Cappuccino Sticks,660.75,69
1942,Sweet Tea Jasmine Pearls,503.99,73
1943,Light Snack Trail Mix,158.49,77
1944,Special Drink Sports Drink,192.49,81
1945,Local Bakery Cinnamon Roll,184.0,85
1946,Fresh Dairy Greek Yogurt,250.99,89
1947,Classic Pantry Soy Sauce 1L,214.75,93
1948,Original Frozen Frozen Pizza,135.99,97
1949,Salted Produce Garlic Bulb,88.75,2
1950,Spicy Meat Lamb Chops,207.49,6
1951,Deluxe Bath Mouthwash,170.49,10
1952,Imported Clean Floor Wax,432.5,14
1953,Natural Office Highlighter,80.75,18
1954,Organic Tech Earphones,1579.0,22
1955,Premium Pet Cat Food 1kg,188.99,26
1956,Roasted Coffee Espresso Beans,382.5,30
1957,Sweet Tea Hibiscus Leaves,483.49,34
1958,Light Snack Popcorn Bag,115.75,38
1959,Special Drink Juice Box,193.99,42
1960,Local Bakery Banana Bread,204.5,46
1961,Roasted Coffee Cappuccino Sticks,641.25,89
1962,Sweet Tea Jasmine Pearls,484.49,93
1963,Light Snack Trail Mix,138.99,97
1964,Special Drink Sports Drink,172.99,2
1965,Local Bakery Cinnamon Roll,164.5,6
1966,Fresh Dairy Greek Yogurt,231.49,10
1967,Classic Pantry Soy Sauce 1L,195.25,14
1968,Original Frozen Frozen Pizza,116.49,18
1969,Salted Produce Garlic Bulb,69.25,22
1970,Spicy Meat Lamb Chops,187.99,26
1971,Deluxe Bath Mouthwash,150.99,30
1972,Imported Clean Floor Wax,413.0,34
1973,Natural Office Highlighter,61.25,38
1974,Organic Tech Earphones,1559.5,42
1975,Premium Pet Cat Food 1kg,169.49,46
1976,Roasted Coffee Espresso Beans,363.0,50
1977,Sweet Tea Hibiscus Leaves,463.99,54
1978,Light Snack Popcorn Bag,96.25,58
1979,Special Drink Juice Box,174.49,62
1980,Local Bakery Banana Bread,207.75,66
1981,Roasted Coffee Cappuccino Sticks,644.5,10
1982,Sweet Tea Jasmine Pearls,487.74,14
1983,Light Snack Trail Mix,142.24,18
1984,Special Drink Sports Drink,176.24,22
1985,Local Bakery Cinnamon Roll,167.75,26
1986,Fresh Dairy Greek Yogurt,234.74,30
1987,Classic Pantry Soy Sauce 1L,198.5,34
1988,Original Frozen Frozen Pizza,119.74,38
1989,Salted Produce Garlic Bulb,72.5,42
1990,Spicy Meat Lamb Chops,191.24,46
1991,Deluxe Bath Mouthwash,154.24,50
1992,Imported Clean Floor Wax,416.25,54
1993,Natural Office Highlighter,64.5,58
1994,Organic Tech Earphones,1562.75,62
1995,Premium Pet Cat Food 1kg,172.74,66
1996,Roasted Coffee Espresso Beans,366.25,70
1997,Sweet Tea Hibiscus Leaves,467.24,74
1998,Light Snack Popcorn Bag,99.5,78
1999,Special Drink Juice Box,177.74,82
2000,Local Bakery Banana Bread,211.0,86
2001,Roasted Coffee Cappuccino Sticks,647.75,30
2002,Sweet Tea Jasmine Pearls,490.99,34
2003,Light Snack Trail Mix,145.49,38
2004,Special Drink Sports Drink,179.49,42
2005,Local Bakery Cinnamon Roll,171.0,46
2006,Fresh Dairy Greek Yogurt,237.99,50
2007,Classic Pantry Soy Sauce 1L,201.75,54
2008,Original Frozen Frozen Pizza,122.99,58
2009,Salted Produce Garlic Bulb,75.75,62
2010,Spicy Meat Lamb Chops,194.49,66
2011,Deluxe Bath Mouthwash,157.49,70
2012,Imported Clean Floor Wax,419.5,74
2013,Natural Office Highlighter,67.75,78
2014,Organic Tech Earphones,1566.0,82
2015,Premium Pet Cat Food 1kg,175.99,86
2016,Roasted Coffee Espresso Beans,369.5,90
2017,Sweet Tea Hibiscus Leaves,470.49,94
2018,Light Snack Popcorn Bag,102.75,98
2019,Special Drink Juice Box,180.99,3
2020,Local Bakery Banana Bread,214.25,7
2021,Roasted Coffee Cappuccino Sticks,651.0,50
2022,Sweet Tea Jasmine Pearls,494.24,54
2023,Light Snack Trail Mix,148.74,58
2024,Special Drink Sports Drink,182.74,62
2025,Local Bakery Cinnamon Roll,174.25,66
2026,Fresh Dairy Greek Yogurt,241.24,70
2027,Classic Pantry Soy Sauce 1L,205.0,74
2028,Original Frozen Frozen Pizza,126.24,78
2029,Salted Produce Garlic Bulb,79.0,82
2030,Spicy Meat Lamb Chops,197.74,86
2031,Deluxe Bath Mouthwash,160.74,90
2032,Imported Clean Floor Wax,422.75,94
2033,Natural Office Highlighter,71.0,98
2034,Organic Tech Earphones,1569.25,3
2035,Premium Pet Cat Food 1kg,179.24,7
2036,Roasted Coffee Espresso Beans,372.75,11
2037,Sweet Tea Hibiscus Leaves,473.74,15
2038,Light Snack Popcorn Bag,106.0,19
2039,Special Drink Juice Box,184.24,23
2040,Local Bakery Banana Bread,217.5,27
2041,Roasted Coffee Cappuccino Sticks,654.25,70
2042,Sweet Tea Jasmine Pearls,497.49,74
2043,Light Snack Trail Mix,151.99,78
2044,Special Drink Sports Drink,185.99,82
2045,Local Bakery Cinnamon Roll,177.5,86
2046,Fresh Dairy Greek Yogurt,244.49,90
2047,Classic Pantry Soy Sauce 1L,208.25,94
2048,Original Frozen Frozen Pizza,129.49,98
2049,Salted Produce Garlic Bulb,82.25,3
2050,Spicy Meat Lamb Chops,200.99,7
2051,Deluxe Bath Mouthwash,163.99,11
2052,Imported Clean Floor Wax,426.0,15
2053,Natural Office Highlighter,74.25,19
2054,Organic Tech Earphones,1572.5,23
2055,Premium Pet Cat Food 1kg,182.49,27
2056,Roasted Coffee Espresso Beans,376.0,31
2057,Sweet Tea Hibiscus Leaves,476.99,35
2058,Light Snack Popcorn Bag,109.25,39
2059,Special Drink Juice Box,187.49,43
2060,Local Bakery Banana Bread,220.75,47
2061,Roasted Coffee Cappuccino Sticks,657.5,90
2062,Sweet Tea Jasmine Pearls,500.74,94
2063,Light Snack Trail Mix,155.24,98
2064,Special Drink Sports Drink,189.24,3
2065,Local Bakery Cinnamon Roll,180.75,7
2066,Fresh Dairy Greek Yogurt,247.74,11
2067,Classic Pantry Soy Sauce 1L,211.5,15
2068,Original Frozen Frozen Pizza,132.74,19
2069,Salted Produce Garlic Bulb,85.5,23
2070,Spicy Meat Lamb Chops,204.24,27
2071,Deluxe Bath Mouthwash,167.24,31
2072,Imported Clean Floor Wax,429.25,35
2073,Natural Office Highlighter,77.5,39
2074,Organic Tech Earphones,1575.75,43
2075,Premium Pet Cat Food 1kg,185.74,47
2076,Roasted Coffee Espresso Beans,379.25,51
2077,Sweet Tea Hibiscus Leaves,480.24,55
2078,Light Snack Popcorn Bag,112.5,59
2079,Special Drink Juice Box,190.74,63
2080,Local Bakery Banana Bread,224.0,67
2081,Roasted Coffee Cappuccino Sticks,660.75,11
2082,Sweet Tea Jasmine Pearls,503.99,15
2083,Light Snack Trail Mix,158.49,19
2084,Special Drink Sports Drink,192.49,23
2085,Local Bakery Cinnamon Roll,184.0,27
2086,Fresh Dairy Greek Yogurt,250.99,31
2087,Classic Pantry Soy Sauce 1L,214.75,35
2088,Original Frozen Frozen Pizza,135.99,39
2089,Salted Produce Garlic Bulb,88.75,43
2090,Spicy Meat Lamb Chops,207.49,47
2091,Deluxe Bath Mouthwash,170.49,51
2092,Imported Clean Floor Wax,432.5,55
2093,Natural Office Highlighter,80.75,59
2094,Organic Tech Earphones,1579.0,63
2095,Premium Pet Cat Food 1kg,188.99,67
2096,Roasted Coffee Espresso Beans,382.5,71
2097,Sweet Tea Hibiscus Leaves,483.49,75
2098,Light Snack Popcorn Bag,115.75,79
2099,Special Drink Juice Box,193.99,83
2100,Local Bakery Banana Bread,204.5,87
2101,Roasted Coffee Cappuccino Sticks,641.25,31
2102,Sweet Tea Jasmine Pearls,484.49,35
2103,Light Snack Trail Mix,138.99,39
2104,Special Drink Sports Drink,172.99,43
2105,Local Bakery Cinnamon Roll,164.5,47
2106,Fresh Dairy Greek Yogurt,231.49,51
2107,Classic Pantry Soy Sauce 1L,195.25,55
2108,Original Frozen Frozen Pizza,116.49,59
2109,Salted Produce Garlic Bulb,69.25,63
2110,Spicy Meat Lamb Chops,187.99,67
2111,Deluxe Bath Mouthwash,150.99,71
2112,Imported Clean Floor Wax,413.0,75
2113,Natural Office Highlighter,61.25,79
2114,Organic Tech Earphones,1559.5,83
2115,Premium Pet Cat Food 1kg,169.49,87
2116,Roasted Coffee Espresso Beans,363.0,91
2117,Sweet Tea Hibiscus Leaves,463.99,95
2118,Light Snack Popcorn Bag,96.25,99
2119,Special Drink Juice Box,174.49,4
2120,Local Bakery Banana Bread,207.75,8
2121,Roasted Coffee Cappuccino Sticks,644.5,51
2122,Sweet Tea Jasmine Pearls,487.74,55
2123,Light Snack Trail Mix,142.24,59
2124,Special Drink Sports Drink,176.24,63
2125,Local Bakery Cinnamon Roll,167.75,67
2126,Fresh Dairy Greek Yogurt,234.74,71
2127,Classic Pantry Soy Sauce 1L,198.5,75
2128,Original Frozen Frozen Pizza,119.74,79
2129,Salted Produce Garlic Bulb,72.5,83
2130,Spicy Meat Lamb Chops,191.24,87
2131,Deluxe Bath Mouthwash,154.24,91
2132,Imported Clean Floor Wax,416.25,95
2133,Natural Office Highlighter,64.5,99
2134,Organic Tech Earphones,1562.75,4
2135,Premium Pet Cat Food 1kg,172.74,8
2136,Roasted Coffee Espresso Beans,366.25,12
2137,Sweet Tea Hibiscus Leaves,467.24,16
2138,Light Snack Popcorn Bag,99.5,20
2139,Special Drink Juice Box,177.74,24
2140,Local Bakery Banana Bread,211.0,28
2141,Roasted Coffee Cappuccino Sticks,647.75,71
2142,Sweet Tea Jasmine Pearls,490.99,75
2143,Light Snack Trail Mix,145.49,79
2144,Special Drink Sports Drink,179.49,83
2145,Local Bakery Cinnamon Roll,171.0,87
2146,Fresh Dairy Greek Yogurt,237.99,91
2147,Classic Pantry Soy Sauce 1L,201.75,95
2148,Original Frozen Frozen Pizza,122.99,99
2149,Salted Produce Garlic Bulb,75.75,4
2150,Spicy Meat Lamb Chops,194.49,8
2151,Deluxe Bath Mouthwash,157.49,12
2152,Imported Clean Floor Wax,419.5,16
2153,Natural Office Highlighter,67.75,20
2154,Organic Tech Earphones,1566.0,24
2155,Premium Pet Cat Food 1kg,175.99,28
2156,Roasted Coffee Espresso Beans,369.5,32
2157,Sweet Tea Hibiscus Leaves,470.49,36
2158,Light Snack Popcorn Bag,102.75,40
2159,Special Drink Juice Box,180.99,44
2160,Local Bakery Banana Bread,214.25,48
2161,Roasted Coffee Cappuccino Sticks,651.0,91
2162,Sweet Tea Jasmine Pearls,494.24,95
2163,Light Snack Trail Mix,148.74,99
2164,Special Drink Sports Drink,182.74,4
2165,Local Bakery Cinnamon Roll,174.25,8
2166,Fresh Dairy Greek Yogurt,241.24,12
2167,Classic Pantry Soy Sauce 1L,205.0,16
2168,Original Frozen Frozen Pizza,126.24,20
2169,Salted Produce Garlic Bulb,79.0,24
2170,Spicy Meat Lamb Chops,197.74,28
2171,Deluxe Bath Mouthwash,160.74,32
2172,Imported Clean Floor Wax,422.75,36
2173,Natural Office Highlighter,71.0,40
2174,Organic Tech Earphones,1569.25,44
2175,Premium Pet Cat Food 1kg,179.24,48
2176,Roasted Coffee Espresso Beans,372.75,52
2177,Sweet Tea Hibiscus Leaves,473.74,56
2178,Light Snack Popcorn Bag,106.0,60
2179,Special Drink Juice Box,184.24,64
2180,Local Bakery Banana Bread,217.5,68
2181,Roasted Coffee Cappuccino Sticks,654.25,12
2182,Sweet Tea Jasmine Pearls,497.49,16
2183,Light Snack Trail Mix,151.99,20
2184,Special Drink Sports Drink,185.99,24
2185,Local Bakery Cinnamon Roll,177.5,28
2186,Fresh Dairy Greek Yogurt,244.49,32
2187,Classic Pantry Soy Sauce 1L,208.25,36
2188,Original Frozen Frozen Pizza,129.49,40
2189,Salted Produce Garlic Bulb,82.25,44
2190,Spicy Meat Lamb Chops,200.99,48
2191,Deluxe Bath Mouthwash,163.99,52
2192,Imported Clean Floor Wax,426.0,56
2193,Natural Office Highlighter,74.25,60
2194,Organic Tech Earphones,1572.5,64
2195,Premium Pet Cat Food 1kg,182.49,68
2196,Roasted Coffee Espresso Beans,376.0,72
2197,Sweet Tea Hibiscus Leaves,476.99,76
2198,Light Snack Popcorn Bag,109.25,80
2199,Special Drink Juice Box,187.49,84
2200,Local Bakery Banana Bread,220.75,88
2201,Roasted Coffee Cappuccino Sticks,657.5,32
2202,Sweet Tea Jasmine Pearls,500.74,36
2203,Light Snack Trail Mix,155.24,40
2204,Special Drink Sports Drink,189.24,44
2205,Local Bakery Cinnamon Roll,180.75,48
2206,Fresh Dairy Greek Yogurt,247.74,52
2207,Classic Pantry Soy Sauce 1L,211.5,56
2208,Original Frozen Frozen Pizza,132.74,60
2209,Salted Produce Garlic Bulb,85.5,64
2210,Spicy Meat Lamb Chops,204.24,68
2211,Deluxe Bath Mouthwash,167.24,72
2212,Imported Clean Floor Wax,429.25,76
2213,Natural Office Highlighter,77.5,80
2214,Organic Tech Earphones,1575.75,84
2215,Premium Pet Cat Food 1kg,185.74,88
2216,Roasted Coffee Espresso Beans,379.25,92
2217,Sweet Tea Hibiscus Leaves,480.24,96
2218,Light Snack Popcorn Bag,112.5,1
2219,Special Drink Juice Box,190.74,5
2220,Local Bakery Banana Bread,224.0,9
2221,Roasted Coffee Cappuccino Sticks,660.75,52
2222,Sweet Tea Jasmine Pearls,503.99,56
2223,Light Snack Trail Mix,158.49,60
2224,Special Drink Sports Drink,192.49,64
2225,Local Bakery Cinnamon Roll,184.0,68
2226,Fresh Dairy Greek Yogurt,250.99,72
2227,Classic Pantry Soy Sauce 1L,214.75,76
2228,Original Frozen Frozen Pizza,135.99,80
2229,Salted Produce Garlic Bulb,88.75,84
2230,Spicy Meat Lamb Chops,207.49,88
2231,Deluxe Bath Mouthwash,170.49,92
2232,Imported Clean Floor Wax,432.5,96
2233,Natural Office Highlighter,80.75,1
2234,Organic Tech Earphones,1579.0,5
2235,Premium Pet Cat Food 1kg,188.99,9
2236,Roasted Coffee Espresso Beans,382.5,13
2237,Sweet Tea Hibiscus Leaves,483.49,17
2238,Light Snack Popcorn Bag,115.75,21
2239,Special Drink Juice Box,193.99,25
2240,Local Bakery Banana Bread,204.5,29
2241,Roasted Coffee Cappuccino Sticks,641.25,72
2242,Sweet Tea Jasmine Pearls,484.49,76
2243,Light Snack Trail Mix,138.99,80
2244,Special Drink Sports Drink,172.99,84
2245,Local Bakery Cinnamon Roll,164.5,88
2246,Fresh Dairy Greek Yogurt,231.49,92
2247,Classic Pantry Soy Sauce 1L,195.25,96
2248,Original Frozen Frozen Pizza,116.49,1
2249,Salted Produce Garlic Bulb,69.25,5
2250,Spicy Meat Lamb Chops,187.99,9
2251,Deluxe Bath Mouthwash,150.99,13
2252,Imported Clean Floor Wax,413.0,17
2253,Natural Office Highlighter,61.25,21
2254,Organic Tech Earphones,1559.5,25
2255,Premium Pet Cat Food 1kg,169.49,29
2256,Roasted Coffee Espresso Beans,363.0,33
2257,Sweet Tea Hibiscus Leaves,463.99,37
2258,Light Snack Popcorn Bag,96.25,41
2259,Special Drink Juice Box,174.49,45
2260,Local Bakery Banana Bread,207.75,49
2261,Roasted Coffee Cappuccino Sticks,644.5,92
2262,Sweet Tea Jasmine Pearls,487.74,96
2263,Light Snack Trail Mix,142.24,1
2264,Special Drink Sports Drink,176.24,5
2265,Local Bakery Cinnamon Roll,167.75,9
2266,Fresh Dairy Greek Yogurt,234.74,13
2267,Classic Pantry Soy Sauce 1L,198.5,17
2268,Original Frozen Frozen Pizza,119.74,21
2269,Salted Produce Garlic Bulb,72.5,25
2270,Spicy Meat Lamb Chops,191.24,29
2271,Deluxe Bath Mouthwash,154.24,33
2272,Imported Clean Floor Wax,416.25,37
2273,Natural Office Highlighter,64.5,41
2274,Organic Tech Earphones,1562.75,45
2275,Premium Pet Cat Food 1kg,172.74,49
2276,Roasted Coffee Espresso Beans,366.25,53
2277,Sweet Tea Hibiscus Leaves,467.24,57
2278,Light Snack Popcorn Bag,99.5,61
2279,Special Drink Juice Box,177.74,65
2280,Local Bakery Banana Bread,211.0,69
2281,Roasted Coffee Cappuccino Sticks,647.75,13
2282,Sweet Tea Jasmine Pearls,490.99,17
2283,Light Snack Trail Mix,145.49,21
2284,Special Drink Sports Drink,179.49,25
2285,Local Bakery Cinnamon Roll,171.0,29
2286,Fresh Dairy Greek Yogurt,237.99,33
2287,Classic Pantry Soy Sauce 1L,201.75,37
2288,Original Frozen Frozen Pizza,122.99,41
2289,Salted Produce Garlic Bulb,75.75,45
2290,Spicy Meat Lamb Chops,194.49,49
2291,Deluxe Bath Mouthwash,157.49,53
2292,Imported Clean Floor Wax,419.5,57
2293,Natural Office Highlighter,67.75,61
2294,Organic Tech Earphones,1566.0,65
2295,Premium Pet Cat Food 1kg,175.99,69
2296,Roasted Coffee Espresso Beans,369.5,73
2297,Sweet Tea Hibiscus Leaves,470.49,77
2298,Light Snack Popcorn Bag,102.75,81
2299,Special Drink Juice Box,180.99,85
2300,Local Bakery Banana Bread,214.25,89
2301,Roasted Coffee Cappuccino Sticks,651.0,33
2302,Sweet Tea Jasmine Pearls,494.24,37
2303,Light Snack Trail Mix,148.74,41
2304,Special Drink Sports Drink,182.74,45
2305,Local Bakery Cinnamon Roll,174.25,49
2306,Fresh Dairy Greek Yogurt,241.24,53
2307,Classic Pantry Soy Sauce 1L,205.0,57
2308,Original Frozen Frozen Pizza,126.24,61
2309,Salted Produce Garlic Bulb,79.0,65
2310,Spicy Meat Lamb Chops,197.74,69
2311,Deluxe Bath Mouthwash,160.74,73
2312,Imported Clean Floor Wax,422.75,77
2313,Natural Office Highlighter,71.0,81
2314,Organic Tech Earphones,1569.25,85
2315,Premium Pet Cat Food 1kg,179.24,89
2316,Roasted Coffee Espresso Beans,372.75,93
2317,Sweet Tea Hibiscus Leaves,473.74,97
2318,Light Snack Popcorn Bag,106.0,2
2319,Special Drink Juice Box,184.24,6
2320,Local Bakery Banana Bread,217.5,10
2321,Roasted Coffee Cappuccino Sticks,654.25,53
2322,Sweet Tea Jasmine Pearls,497.49,57
2323,Light Snack Trail Mix,151.99,61
2324,Special Drink Sports Drink,185.99,65
2325,Local Bakery Cinnamon Roll,177.5,69
2326,Fresh Dairy Greek Yogurt,244.49,73
2327,Classic Pantry Soy Sauce 1L,208.25,77
2328,Original Frozen Frozen Pizza,129.49,81
2329,Salted Produce Garlic Bulb,82.25,85
2330,Spicy Meat Lamb Chops,200.99,89
2331,Deluxe Bath Mouthwash,163.99,93
2332,Imported Clean Floor Wax,426.0,97
2333,Natural Office Highlighter,74.25,2
2334,Organic Tech Earphones,1572.5,6
2335,Premium Pet Cat Food 1kg,182.49,10
2336,Roasted Coffee Espresso Beans,376.0,14
2337,Sweet Tea Hibiscus Leaves,476.99,18
2338,Light Snack Popcorn Bag,109.25,22
2339,Special Drink Juice Box,187.49,26
2340,Local Bakery Banana Bread,220.75,30
2341,Roasted Coffee Cappuccino Sticks,657.5,73
2342,Sweet Tea Jasmine Pearls,500.74,77
2343,Light Snack Trail Mix,155.24,81
2344,Special Drink Sports Drink,189.24,85
2345,Local Bakery Cinnamon Roll,180.75,89
2346,Fresh Dairy Greek Yogurt,247.74,93
2347,Classic Pantry Soy Sauce 1L,211.5,97
2348,Original Frozen Frozen Pizza,132.74,2
2349,Salted Produce Garlic Bulb,85.5,6
2350,Spicy Meat Lamb Chops,204.24,10
2351,Deluxe Bath Mouthwash,167.24,14
2352,Imported Clean Floor Wax,429.25,18
2353,Natural Office Highlighter,77.5,22
2354,Organic Tech Earphones,1575.75,26
2355,Premium Pet Cat Food 1kg,185.74,30
2356,Roasted Coffee Espresso Beans,379.25,34
2357,Sweet Tea Hibiscus Leaves,480.24,38
2358,Light Snack Popcorn Bag,112.5,42
2359,Special Drink Juice Box,190.74,46
2360,Local Bakery Banana Bread,224.0,50
2361,Roasted Coffee Cappuccino Sticks,660.75,93
2362,Sweet Tea Jasmine Pearls,503.99,97
2363,Light Snack Trail Mix,158.49,2
2364,Special Drink Sports Drink,192.49,6
2365,Local Bakery Cinnamon Roll,184.0,10
2366,Fresh Dairy Greek Yogurt,250.99,14
2367,Classic Pantry Soy Sauce 1L,214.75,18
2368,Original Frozen Frozen Pizza,135.99,22
2369,Salted Produce Garlic Bulb,88.75,26
2370,Spicy Meat Lamb Chops,207.49,30
2371,Deluxe Bath Mouthwash,170.49,34
2372,Imported Clean Floor Wax,432.5,38
2373,Natural Office Highlighter,80.75,42
2374,Organic Tech Earphones,1579.0,46
2375,Premium Pet Cat Food 1kg,188.99,50
2376,Roasted Coffee Espresso Beans,382.5,54
2377,Sweet Tea Hibiscus Leaves,483.49,58
2378,Light Snack Popcorn Bag,115.75,62
2379,Special Drink Juice Box,193.99,66
2380,Local Bakery Banana Bread,204.5,70
2381,Roasted Coffee Cappuccino Sticks,641.25,14
2382,Sweet Tea Jasmine Pearls,484.49,18
2383,Light Snack Trail Mix,138.99,22
2384,Special Drink Sports Drink,172.99,26
2385,Local Bakery Cinnamon Roll,164.5,30
2386,Fresh Dairy Greek Yogurt,231.49,34
2387,Classic Pantry Soy Sauce 1L,195.25,38
2388,Original Frozen Frozen Pizza,116.49,42
2389,Salted Produce Garlic Bulb,69.25,46
2390,Spicy Meat Lamb Chops,187.99,50
2391,Deluxe Bath Mouthwash,150.99,54
2392,Imported Clean Floor Wax,413.0,58
2393,Natural Office Highlighter,61.25,62
2394,Organic Tech Earphones,1559.5,66
2395,Premium Pet Cat Food 1kg,169.49,70
2396,Roasted Coffee Espresso Beans,363.0,74
2397,Sweet Tea Hibiscus Leaves,463.99,78
2398,Light Snack Popcorn Bag,96.25,82
2399,Special Drink Juice Box,174.49,86
2400,Local Bakery Banana Bread,207.75,90
2401,Roasted Coffee Cappuccino Sticks,644.5,34
2402,Sweet Tea Jasmine Pearls,487.74,38
2403,Light Snack Trail Mix,142.24,42
2404,Special Drink Sports Drink,176.24,46
2405,Local Bakery Cinnamon Roll,167.75,50
2406,Fresh Dairy Greek Yogurt,234.74,54
2407,Classic Pantry Soy Sauce 1L,198.5,58
2408,Original Frozen Frozen Pizza,119.74,62
2409,Salted Produce Garlic Bulb,72.5,66
2410,Spicy Meat Lamb Chops,191.24,70
2411,Deluxe Bath Mouthwash,154.24,74
2412,Imported Clean Floor Wax,416.25,78
2413,Natural Office Highlighter,64.5,82
2414,Organic Tech Earphones,1562.75,86
2415,Premium Pet Cat Food 1kg,172.74,90
2416,Roasted Coffee Espresso Beans,366.25,94
2417,Sweet Tea Hibiscus Leaves,467.24,98
2418,Light Snack Popcorn Bag,99.5,3
2419,Special Drink Juice Box,177.74,7
2420,Local Bakery Banana Bread,211.0,11
2421,Roasted Coffee Cappuccino Sticks,647.75,54
2422,Sweet Tea Jasmine Pearls,490.99,58
2423,Light Snack Trail Mix,145.49,62
2424,Special Drink Sports Drink,179.49,66
2425,Local Bakery Cinnamon Roll,171.0,70
2426,Fresh Dairy Greek Yogurt,237.99,74
2427,Classic Pantry Soy Sauce 1L,201.75,78
2428,Original Frozen Frozen Pizza,122.99,82
2429,Salted Produce Garlic Bulb,75.75,86
2430,Spicy Meat Lamb Chops,194.49,90
2431,Deluxe Bath Mouthwash,157.49,94
2432,Imported Clean Floor Wax,419.5,98
2433,Natural Office Highlighter,67.75,3
2434,Organic Tech Earphones,1566.0,7
2435,Premium Pet Cat Food 1kg,175.99,11
2436,Roasted Coffee Espresso Beans,369.5,15
2437,Sweet Tea Hibiscus Leaves,470.49,19
2438,Light Snack Popcorn Bag,102.75,23
2439,Special Drink Juice Box,180.99,27
2440,Local Bakery Banana Bread,214.25,31
2441,Roasted Coffee Cappuccino Sticks,651.0,74
2442,Sweet Tea Jasmine Pearls,494.24,78
2443,Light Snack Trail Mix,148.74,82
2444,Special Drink Sports Drink,182.74,86
2445,Local Bakery Cinnamon Roll,174.25,90
2446,Fresh Dairy Greek Yogurt,241.24,94
2447,Classic Pantry Soy Sauce 1L,205.0,98
2448,Original Frozen Frozen Pizza,126.24,3
2449,Salted Produce Garlic Bulb,79.0,7
2450,Spicy Meat Lamb Chops,197.74,11
2451,Deluxe Bath Mouthwash,160.74,15
2452,Imported Clean Floor Wax,422.75,19
2453,Natural Office Highlighter,71.0,23
2454,Organic Tech Earphones,1569.25,27
2455,Premium Pet Cat Food 1kg,179.24,31
2456,Roasted Coffee Espresso Beans,372.75,35
2457,Sweet Tea Hibiscus Leaves,473.74,39
2458,Light Snack Popcorn Bag,106.0,43
2459,Special Drink Juice Box,184.24,47
2460,Local Bakery Banana Bread,217.5,51
2461,Roasted Coffee Cappuccino Sticks,654.25,94
2462,Sweet Tea Jasmine Pearls,497.49,98
2463,Light Snack Trail Mix,151.99,3
2464,Special Drink Sports Drink,185.99,7
2465,Local Bakery Cinnamon Roll,177.5,11
2466,Fresh Dairy Greek Yogurt,244.49,15
2467,Classic Pantry Soy Sauce 1L,208.25,19
2468,Original Frozen Frozen Pizza,129.49,23
2469,Salted Produce Garlic Bulb,82.25,27
2470,Spicy Meat Lamb Chops,200.99,31
2471,Deluxe Bath Mouthwash,163.99,35
2472,Imported Clean Floor Wax,426.0,39
2473,Natural Office Highlighter,74.25,43
2474,Organic Tech Earphones,1572.5,47
2475,Premium Pet Cat Food 1kg,182.49,51
2476,Roasted Coffee Espresso Beans,376.0,55
2477,Sweet Tea Hibiscus Leaves,476.99,59
2478,Light Snack Popcorn Bag,109.25,63
2479,Special Drink Juice Box,187.49,67
2480,Local Bakery Banana Bread,220.75,71
2481,Roasted Coffee Cappuccino Sticks,657.5,15
2482,Sweet Tea Jasmine Pearls,500.74,19
2483,Light Snack Trail Mix,155.24,23
2484,Special Drink Sports Drink,189.24,27
2485,Local Bakery Cinnamon Roll,180.75,31
2486,Fresh Dairy Greek Yogurt,247.74,35
2487,Classic Pantry Soy Sauce 1L,211.5,39
2488,Original Frozen Frozen Pizza,132.74,43
2489,Salted Produce Garlic Bulb,85.5,47
2490,Spicy Meat Lamb Chops,204.24,51
2491,Deluxe Bath Mouthwash,167.24,55
2492,Imported Clean Floor Wax,429.25,59
2493,Natural Office Highlighter,77.5,63
2494,Organic Tech Earphones,1575.75,67
2495,Premium Pet Cat Food 1kg,185.74,71
2496,Roasted Coffee Espresso Beans,379.25,75
2497,Sweet Tea Hibiscus Leaves,480.24,79
2498,Light Snack Popcorn Bag,112.5,83
2499,Special Drink Juice Box,190.74,87
2500,Local Bakery Banana Bread,224.0,91
